filename,judge_folder,case_no,case_type,date,hearing_date,petitioner,respondent,advocates_petitioner,advocates_respondent,aors,judges,bench_size,judgment_author,originating_court,originating_case_no,constitutional_refs,precedents,petition_text,sections,outcome,disposition_type,relief,word_count,char_count,exclusion_reason
c.a._1295_2019.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1498_2016.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._471_l_2012.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._781_2017.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._8_q_2017.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._936_2012.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._138_p_2015.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._819_2017.pdf,Justice Amin-Ud-Din Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._3586_2023.pdf,Justice Aqeel Ahmed Abbasi,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1314_2014.pdf,Justice Athar Minallah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._202_l_2022.pdf,Justice Athar Minallah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._2330_2023.pdf,Justice Athar Minallah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._3532_2023_urdu.pdf,Justice Athar Minallah,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1692_2021.pdf,Justice Ayesha A. Malik,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._408_2022.pdf,Justice Ayesha A. Malik,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._3121_2021.pdf,Justice Ayesha A. Malik,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._323_l_2014.pdf,Justice Ayesha A. Malik,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1229_2018.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1429_2014.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.m.a._100_2024.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._1007_2022.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._14_p_2015.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._2100_2024.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._263_k_2024.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._2849_l_2015.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._344_p_2022.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._812_k_2022.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
ca_1357_2024.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
ca_1394_2024.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._282_l_2020.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._29_2023.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._566_2020.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._77_2023.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._972_l_2017.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
j.p._403_2022.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
j.p._868_2017.pdf,Justice Irfan Saadat Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._34_2023.pdf,Justice Ishtiaq Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._623_2022.pdf,Justice Ishtiaq Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._1366_2018.pdf,Justice Ishtiaq Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._332_2025.pdf,Justice Ishtiaq Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._42_p_2016.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._3136_2022.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._56_2019.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._57_2019.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._354_l_2016.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.p._46_2024.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
reference._2_2022_07092024.pdf,Justice Jamal Khan Mandokhail,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._23_q_2020.pdf,Justice Malik Shahzad Ahmad Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
j.p._14_2020.pdf,Justice Malik Shahzad Ahmad Khan,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Allotment of House.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
"Arbitration, Declaring award of Jirga, Arbitrators as rule of the Court.pdf",Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
"Death Sentence, Sessions.pdf",Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Death Sentence.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Juvenile Cases.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Other Sentences.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
"Service, Promotion.pdf",Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Suit for specific performance 1.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
Suit for specific performance.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.a._1612_2018.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._2144_2016.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._264_p_2010.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
c.p._331_p_2014.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
crl.a._106_2020.pdf,Justice Mazhar Alam,,,,,,,,,,,,,,,,,,,,,,,,no text extracted from source PDF (all core fields empty)
