filename,judge_folder,case_no,case_type,date,hearing_date,petitioner,respondent,advocates_petitioner,advocates_respondent,aors,judges,bench_size,judgment_author,constitutional_refs,precedents,petition_text,sections,outcome,disposition_type,word_count,char_count,year,month,case_length_days,sections_list,case_duration_days
Offence of Qazf (Enforcement of Hadood) Ord. 1979.pdf,Dr Qibla Ayaz,Unknown,Unknown,2024-08-08,,Mst Saeeda Begum,The State And Another,Unknown,Unknown,Ms Chand Bibi Amicus Curiae Dr Muhammad Mushtaq Ahmad,"Justice Qazi Faez Isa; Justice Naeem Akhtar Afghai; Justice Shahid Bilal Hassan; Justice Naeem Akhtar Afghan
Justice Shahid Bilal Hassan
Dr. Muhammad Khalid Masud
Dr. Qibla Ayaz
Criminal Shariat Review Petitions No. ",4.0,"Justice Naeem Akhtar Afghan
Justice Shahid Bilal Hassan
Dr. Muhammad Khalid Masud
Dr. Qibla Ayaz
Criminal Shariat Review Petitions No.",Article 128; Article 188; Article 2; Article 128,Unknown,"ar IN THE SUPREME COURT OF PAKISTAN (Shariat Review Jurisdiction) 13)95- Shariat Appellate bench: Justice Qazi Faez Isa, Chairman Justice Naeem Akhtar Afghan Justice Shahid Bilal Hassan Dr. Muhammad Khalid Masud Dr. Qibla Ayaz Criminal Shariat Review Petitions No. 2 of 2016 IN Criminal Shariat Petition No> 24 of 2009 Mst. Saeeda Begum. ... Petitioner Versus The State and another ... Respondents P""or the Petitioners: Dr. Muhammad Aslam Khaki, ASC Mr. Tariq Aziz, AOR For the State: Ms. Chand Bibi, Deputy Prosecutor-General, Punjab. For Respondent No. 2: Syed Rifaqat Hussain Shah, ASC/AOR Amicus Curiae: Dr. Muhammad Mushtaq Ahmad,","1,2,3,5,6,7,11,14,128,188,342",set aside,Set Aside,2438.0,14616.0,2024.0,8.0,Unknown,"['1', '2', '3', '5', '6', '7', '11', '14', '128', '188', '342']",
c.a._1080_2013.pdf,Justice Amin-Ud-Din Khan,Unknown,Unknown,2013-05-24,2020-01-28,Unknown,Noor Asghar,Unknown,Unknown,Unknown,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",1.0,"JUSTICE MANZOOR AHMAD MALIK
MR. JUSTICE AMIN",Article 185,Unknown,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE MANZOOR AHMAD MALIK MR. JUSTICE AMIN-UD-DIN KHAN CIVIL APPEALS NO.1080 AND 1113 OF 2013 (On appeal from judgment dated 24.5.2013, passed by the Peshawar High Court, D.I. Khan Bench, in C.Rs. No.179 and 180 of 2011) Sultan ...Appellant (s) (in both cases) Versus Noor Asghar …Respondent(s) (n both cases) For the Appellant (s) : Syed Mastan Ali Shah Zaidi, (in both cases) ASC Respondent (s) : Nemo (in both cases) Date of Hearing : 28.01.2020 JUDGMENT AMIN-UD-DIN KHAN, J.- These Civil Appeals","185,1080",unknown,Unknown,886.0,5371.0,2013.0,5.0,2440.0,"['185', '1080']",-2440.0
c.a._138_l_2010.pdf,Justice Amin-Ud-Din Khan,Civil Appeal Nos. 138-L & 139-L of 2010,Civil,2007-02-21,2024-05-27,Muhammad Arshad Deceased,Bashir Ahmad And,Unknown,"Mr. Tariq Ahmed Mian, ASC via",Unknown,"Justice Yahya Afridi
Mr. Justice Amin; Justice Ayesha A. Malik
Civil Appeals No.l",2.0,"Justice Ayesha A. Malik
Civil Appeals No.l",Unknown,"PLD
2013 SC 489","IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present Mr. Justice Yahya Afridi Mr. Justice Amin-ud-Din Khan Mrs. Justice Ayesha A. Malik Civil Appeals No.l38-L & 139-L/2010 Against the judgment dated 21.02.2007 passed by the Lahore High Court, Lahore in W.P.No. 18465 of 2005 and W.P.No. 18466 of2005. Muhammad Arshad (deceased) through LRs ..appellants Versus Bashir Ahmad (deceased) through LRs and others Respondents For the appellants: Mr. Junaid Anwar, ASC. Syed Rifaqat Hussain Shah, AOR. For the respondents: Mr. Tariq Ahmed Mian, ASC via video link from Lahore. Date of Hearing: 0? May 2024","4,11,24,138,148",set aside,Set Aside,1081.0,6329.0,2007.0,2.0,6305.0,"['4', '11', '24', '138', '148']",-6305.0
c.a._154_l_2018.pdf,Justice Amin-Ud-Din Khan,Civil Appeal No.154-L of 2018,Civil,2018-09-13,2020-05-14,Unknown,Unknown,Unknown,Unknown,Unknown,"Justice Ijaz ul Ahsan
Mr. Justice Amin",1.0,"Justice Ijaz ul Ahsan
Mr. Justice Amin",Article 185; Article 17,"PLD
1981 SC 489","SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Ijaz ul Ahsan Mr. Justice Amin-ud-Din Khan Civil Appeal No.154-L of 2018 (Against the judgment dated 13.9.2018, passed by the Lahore High Court, Lahore, in Civil Revision No.38 of 2017) Anjuman-e-Khuddam-ul-Qur’an, Faisalabad through Dr. Abdul Sami, President Qur’an Academy, Saeed Colony No.2, Faisalabad ...Appellant Versus Lt. Col (R) Najam Hameed and 3 others …Respondents For the Appellant : Sh. Naveed Shehryar, ASC Respondent No.1: : In Person Other Respondents : N.R. Date of Hearing : 14.05.2020","3,7,13,14,15,17,20,39,50,60,91,149,185",set aside,Set Aside,4400.0,26278.0,2018.0,9.0,609.0,"['3', '7', '13', '14', '15', '17', '20', '39', '50', '60', '91', '149', '185']",-609.0
c.a._1683_2014.pdf,Justice Amin-Ud-Din Khan,Civil Appeal No. 1683 of 2014.,Civil,2014-11-21,2022-07-02,Mst Bibi Fatima,Unknown,Unknown,Unknown,Unknown,"justice and to prevent the abuse of the process of
the Court. These are all enabling provisions; Justice Sajjad Ali Shah
Mr. Justice Amin",2.0,"Justice Sajjad Ali Shah
Mr. Justice Amin",Article 185; Article 129,Unknown,"4 V. S SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Sajjad Ali Shah Mr. Justice Amin-Ud-Din Khan i vil Appeal No. 1683 of 2014 (Against the judgment dated 21.11.2014 passed by the Peshawar High Court, Abbottabad Bench in CR No. 181-A of 2008) .Appellant Mst. Bibi Fatima Versus Respondent Muhammad Sarwar For the Appellant(s) Mr. Muhammad Muriir Paracha, ASC Syed Rifaqat Hussain Shah, AOR.","6,27,33,129,151,185,9300",allowed,Allowed,2134.0,13136.0,2014.0,11.0,2780.0,"['6', '27', '33', '129', '151', '185', '9300']",-2780.0
c.a._170_2017.pdf,Justice Amin-Ud-Din Khan,C.A. No. 170 OF 2017,Unknown,2016-09-21,2023-07-06,Hasham Khan Deceased,Waheed Ahmed,Unknown,"Sardar Abdur Raziq Khan, ASC.",Unknown,"JUSTICE SARDAR TARIQ MASOOD
MR. JUSTICE AMIN",1.0,"JUSTICE SARDAR TARIQ MASOOD
MR. JUSTICE AMIN",Article 78,PLD 1986 SC 91,"IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: MR. JUSTICE SARDAR TARIQ MASOOD MR. JUSTICE AMIN-UD-DIN KHAN C.A. No. 170 OF 2017 C.A. No. 171 OF 2017 Against the judgment dated 21.09.2016 passed by the Lahore High Court, Rawalpindi Bench, Rawalpindi in Civil Revision Nos. 688-D of 2011 and Civil Revision No. 689-D of 2011. Hasham Khan (deceased) through LRs. .........Appellants Versus Waheed Ahmed ….Respondent For the appellants: Sh. Ahsan ud Din, ASC. Ch. Akhtar Ali, AOR. For the respondent: Sardar Abdur Raziq Khan, ASC. Syed Rifaqat Hussain Shah, AOR. Research made by: Bibi Tayyaba Kakar, Law Clerk.","7,10,12,13,25,33,52,78,170,688,7715",unknown,Unknown,2348.0,14135.0,2016.0,9.0,2479.0,"['7', '10', '12', '13', '25', '33', '52', '78', '170', '688', '7715']",-2479.0
c.a._219_2015.pdf,Justice Amin-Ud-Din Khan,Civil Appeal No. 219 of 2015,Civil,2015-03-31,2021-08-12,Abdul Aziz,Abdul Hameed Lrs,Unknown,Unknown,Unknown,"JUSTICE JAMAL KHAN MANDOKHAIL
AOL; JUSTICE AMIN",2.0,JUSTICE AMIN,Article 72; Article 90; Article 187,PLD 2020 SC 390,"I SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE JAMAL KHAN MANDOKHAIL AOL- Civil Appeal No. 219 of 2015 (Against the judgment dated 01.10.20 14 passed by the Lahore High Court, Bahawalpur Bench in Civil Revision Jlb. 249-D of 201 0/BWP) Abdul Aziz Appellant(s) Versus Abdul Hameed (deed) thr. LRs Respondent(s) For the Appellant(s) Mr. Muhammad Shahid Kamal Khan, ASC For Respondent No. 1(i) Mian Shahid Iqbal, ASC","32,35,42,55,72,90,136,187",set aside,Set Aside,2406.0,13877.0,2015.0,3.0,2326.0,"['32', '35', '42', '55', '72', '90', '136', '187']",-2326.0
c.a._273_2015.pdf,Justice Amin-Ud-Din Khan,Civil Appeal No. 273 of 2015,Civil,2014-11-07,2021-02-11,Moulvi Din Muhammad,Unknown,Unknown,Unknown,Mr Liaquat Ali Tareen,"JUSTICE MUHAMMAD ALT MAZHAR
; JUSTICE AMIN",2.0,JUSTICE AMIN,Unknown,Unknown,"S SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: MR. JUSTICE AMIN-UD-DIN KHAN MR. JUSTICE MUHAMMAD ALT MAZHAR ,4flL Civil Appeal No. 273 of 2015 (Against the order dated 11.07.2014 passed by the High Court of Baluchistan, in Civil Revision No. 281 of 2006) .Appellant(s) Moulvi Din Muhammad Versus .Respondent(s) Bibi Shakira and others For the Appellant(s): Mr. Tariq Mahmood, Sr. ASC Syed Rifaqat Hussain Shah, AOR Mr. Liaquat Ali Tareen, ASC For Respondent No-3","1,17,151",appeal dismissed,Dismissed,893.0,5330.0,2014.0,11.0,2288.0,"['1', '17', '151']",-2288.0
c.a._455_2012.pdf,Justice Amin-Ud-Din Khan,CIVIL APPEAL NO.455 OF 2012 AND CIVIL PETITION,Unknown,2012-05-03,2019-12-23,Unknown,Haji Muhammad Riaz And,Unknown,Unknown,Mr M Ayub with Raja M Farooq,"Justice Ijaz ul Ahsan
Mr. Justice Amin",1.0,"Justice Ijaz ul Ahsan
Mr. Justice Amin",Article 185,SCMR 1986 121,"SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) PRESENT: Mr. Justice Ijaz ul Ahsan Mr. Justice Amin-ud-Din Khan CIVIL APPEAL NO.455 OF 2012 AND CIVIL PETITION NO.1173 OF 2012 (On appeal against the judgment dated 5.3.2012, passed by the Peshawar High Court, Abbottabad Bench, in C.Rs. Nos.131 of 2004 and 35 of 2005) Mst. Gulnaz (in CA.455/2012) Mir Afzal Khan …Appellant (s) (in CP.1173/2012) Petitioner (s) Versus Haji Muhammad Riaz and others …Respondent(s) (in both cases) For the Appellant (s) : Haji Sabir Hussain Tanoli, ASC with Syed Rifaqat Hussain Shah,","1,12,50,131,185,1980",set aside,Unknown,2328.0,13793.0,2012.0,5.0,2790.0,"['1', '12', '50', '131', '185', '1980']",-2790.0
c.a._785_2022.pdf,Justice Amin-Ud-Din Khan,Civil Appeal No.785 of 2022,Civil,2022-04-07,2024-09-23,Ufaid Gul,Mst Farkhanda Ayub Khan And,Unknown,"Mr. Taimoor Aslam Khan, ASC for",Unknown,"Justice Muhammad Ali Mazhar
Mr. Justice Irfan Saadat Khan
Civil Appeal No.; Justice Amin",2.0,Justice Amin,Article 185,PLD 1991 SC 957,"IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present Mr. Justice Amin-ud-Din Khan Mr. Justice Muhammad Ali Mazhar Mr. Justice Irfan Saadat Khan Civil Appeal No.785 of 2022 Against the judgment dated 04.07.2022 passed by the Islamabad High Court in RFA No. 117 of2021. Ufaid Gul ....Appellant Versus Mst. Farkhanda Ayub Khan and others .... Respondents For the Appellant: Syed Asghar Hussain Sabzwari, Sr.ASC. Sardar Muhammad Tariq Farid Gopang, ASC. For the respondents: Mr. Taimoor Aslam Khan, ASC for respondent No.l. Raja Khalid Mahmood Khan, ASC for","1,12,13,185,269",set aside,Set Aside,1773.0,10857.0,2022.0,4.0,900.0,"['1', '12', '13', '185', '269']",-900.0
